arm,seed,expressibility_kl,entanglement_capability_mean,gate_count
random,0,5.170566860174961,0.35023390684800626,5
random,0,27.631021115927403,0.0,1
random,0,27.631021115927403,0.0,1
random,0,27.631021115927403,8.881784197001252e-16,4
random,1,27.631021115927403,0.0,3
random,1,27.631021115927403,8.881784197001252e-16,4
random,1,27.631021115927183,1.0103029524088925e-16,1
random,1,5.472472498293615,6.94999613415348e-16,5
llm_open_loop,0,1.5171909997969413,0.3391603922265237,5
llm_open_loop,0,1.5964935433143714,0.35078089321903005,5
llm_open_loop,0,7.643180842067788,0.3051754476682165,3
llm_open_loop,0,1.420784129456991,0.3779718698803046,5
llm_open_loop,1,1.5964935433143714,0.35078089321903005,5
llm_open_loop,1,1.5171909997969413,0.3391603922265237,5
llm_open_loop,1,1.5171909997969413,0.3391603922265237,5
llm_open_loop,1,1.5171909997969413,0.3391603922265237,5
llm_closed_loop,0,1.5171909997969413,0.3391603922265237,5
llm_closed_loop,0,1.4195476241492495,0.37032687012948295,5
llm_closed_loop,0,1.4195476241492495,0.37032687012948295,5
llm_closed_loop,0,1.4195476241492495,0.37032687012948295,5
llm_closed_loop,1,1.420784129456991,0.3779718698803046,5
