arm,expressibility_kl
random,5.170566860174961
random,27.631021115927403
random,27.631021115927403
random,27.631021115927403
random,27.631021115927403
random,27.631021115927403
random,27.631021115927183
random,5.472472498293615
llm_open_loop,1.5171909997969413
llm_open_loop,1.5964935433143714
llm_open_loop,7.643180842067788
llm_open_loop,1.420784129456991
llm_open_loop,1.5964935433143714
llm_open_loop,1.5171909997969413
llm_open_loop,1.5171909997969413
llm_open_loop,1.5171909997969413
llm_closed_loop,1.5171909997969413
llm_closed_loop,1.4195476241492495
llm_closed_loop,1.4195476241492495
llm_closed_loop,1.4195476241492495
llm_closed_loop,1.420784129456991
