seed,proposal_index,architecture_hash,theta_index,theta,val_rmse
0,0,7043b628aa36e1afa0ee2f642214804d6b1b03436ede19afa4d8ecf4980cd823,0,1.456797666,0.2004726995825111
0,0,7043b628aa36e1afa0ee2f642214804d6b1b03436ede19afa4d8ecf4980cd823,1,0.689420329,0.2004726995825111
0,0,7043b628aa36e1afa0ee2f642214804d6b1b03436ede19afa4d8ecf4980cd823,2,-0.224960952,0.2004726995825111
0,0,7043b628aa36e1afa0ee2f642214804d6b1b03436ede19afa4d8ecf4980cd823,3,-1.759738816,0.2004726995825111
0,0,7043b628aa36e1afa0ee2f642214804d6b1b03436ede19afa4d8ecf4980cd823,4,3.025426291,0.2004726995825111
0,1,55b0ea3c339ef71776daf03b0d992a19f2494d2e15140f5f09e110bb613fd796,0,0.165831919,0.20047269958251104
0,2,6aaae139f2751c9e5b1261da1ebed3714b68a175fae5b215fe13ccfd35e84f84,0,1.134823402,0.20047269958251104
0,2,6aaae139f2751c9e5b1261da1ebed3714b68a175fae5b215fe13ccfd35e84f84,1,3.027688895,0.20047269958251104
0,3,534850a8e4da224f7864cfa8f6100feafbb3016bd1f5b5b043b5cd92d599d567,0,1.091004882,0.4186267215322493
0,3,534850a8e4da224f7864cfa8f6100feafbb3016bd1f5b5b043b5cd92d599d567,1,0.615320049,0.4186267215322493
0,3,534850a8e4da224f7864cfa8f6100feafbb3016bd1f5b5b043b5cd92d599d567,2,-2.219787035,0.4186267215322493
1,0,ee4579777d376a88cc63dbcd9293a921f8706f503bd971c7fb94f6d604f774af,0,-2.566333465,0.16259550792396982
1,0,ee4579777d376a88cc63dbcd9293a921f8706f503bd971c7fb94f6d604f774af,1,0.156639698,0.16259550792396982
1,0,ee4579777d376a88cc63dbcd9293a921f8706f503bd971c7fb94f6d604f774af,2,-2.652706392,0.16259550792396982
1,0,ee4579777d376a88cc63dbcd9293a921f8706f503bd971c7fb94f6d604f774af,3,-2.035655133,0.16259550792396982
1,1,d2b35b25c486f331d403653953fa078fb5557542b0b02793856cdcf0ecc003ab,0,0.187089256,0.29569568006299574
1,1,d2b35b25c486f331d403653953fa078fb5557542b0b02793856cdcf0ecc003ab,1,1.944910252,0.29569568006299574
1,1,d2b35b25c486f331d403653953fa078fb5557542b0b02793856cdcf0ecc003ab,2,-2.286589461,0.29569568006299574
1,2,f574fb10f7f70e950023c41b3617cdfc239eb6b4fc8d7f6aa2aea1bb7420beab,0,-1.729072114,0.20970239346330002
1,3,d6b56da5031647ffc2b554819871acaabf2b5d327c94d0cfe7d38a447a3d26ff,0,1.22854242,0.2091713497058961
1,3,d6b56da5031647ffc2b554819871acaabf2b5d327c94d0cfe7d38a447a3d26ff,1,0.064387839,0.2091713497058961
2,0,867042a6682921e4bc5cdef243878069c5a92eaef6a5d555116a251b62dc66c4,0,-1.395647098,0.2882384813785365
2,1,c91ce7774a21479ffa9a3179640b9f6378f4dc6d65d8cfd378e8082368439594,0,-2.329800966,0.4085993803943277
2,1,c91ce7774a21479ffa9a3179640b9f6378f4dc6d65d8cfd378e8082368439594,1,-2.256998582,0.4085993803943277
2,1,c91ce7774a21479ffa9a3179640b9f6378f4dc6d65d8cfd378e8082368439594,2,-1.048171614,0.4085993803943277
2,1,c91ce7774a21479ffa9a3179640b9f6378f4dc6d65d8cfd378e8082368439594,3,1.614164006,0.4085993803943277
2,1,c91ce7774a21479ffa9a3179640b9f6378f4dc6d65d8cfd378e8082368439594,4,3.090435496,0.4085993803943277
2,2,b53073df320ed1bd636f4be2d8e6b7cccdceed4725105f9386cfd6de73a021d2,0,-0.306673848,0.20346517607782486
2,2,b53073df320ed1bd636f4be2d8e6b7cccdceed4725105f9386cfd6de73a021d2,1,1.270027696,0.20346517607782486
2,3,e18250d737a6dba2a58d146a798ca2812fd98a04e7e0a2ce534483232d59058d,0,1.784042852,0.20346517607782494
