arm,seed,expressibility_kl,entanglement_capability_mean,gate_count
random,0,5.170566860174961,0.35023390684800626,5
random,0,27.631021115927403,0.0,1
random,0,27.631021115927403,0.0,1
random,0,27.631021115927403,8.881784197001252e-16,4
random,1,27.631021115927403,0.0,3
random,1,27.631021115927403,8.881784197001252e-16,4
random,1,27.631021115927183,1.0103029524088925e-16,1
random,1,5.472472498293615,6.94999613415348e-16,5
random,2,5.746891729394509,1.2101430968414207e-16,1
random,2,0.36929238167023926,0.3315414874047678,4
random,2,5.4580680904060985,8.548717289613706e-17,5
random,2,27.63102111592692,4.773959005888173e-17,4
llm_open_loop,0,27.631021115927403,0.0,3
llm_open_loop,0,27.631021115927403,0.0,3
llm_open_loop,0,27.631021115927403,0.0,3
llm_open_loop,0,27.631021115927403,0.0,3
llm_open_loop,1,5.396181895395394,8.770761894538737e-17,2
llm_open_loop,1,5.396181895395394,8.770761894538737e-17,2
llm_open_loop,1,5.396181895395394,8.770761894538737e-17,2
llm_open_loop,1,5.396181895395394,8.770761894538737e-17,2
llm_open_loop,2,5.303231192334444,1.021405182655144e-16,4
llm_open_loop,2,5.303231192334444,1.021405182655144e-16,4
llm_open_loop,2,5.303231192334444,1.021405182655144e-16,4
llm_open_loop,2,5.303231192334444,1.021405182655144e-16,4
llm_closed_loop,0,0.7975669470308828,0.0764409553912037,5
llm_closed_loop,0,27.631021115927403,8.881784197001252e-16,2
llm_closed_loop,0,27.631021115927197,1.0436096431476471e-16,2
llm_closed_loop,0,2.0168414339190814,0.26367815449810317,3
llm_closed_loop,1,2.720814416842041,0.1570631999776565,4
llm_closed_loop,1,2.0273944796189576,0.32695069606544985,4
llm_closed_loop,1,27.631021115927403,8.881784197001252e-16,2
llm_closed_loop,1,27.631021115927403,0.0,2
llm_closed_loop,2,5.519286779625734,7.338574192772285e-16,2
llm_closed_loop,2,27.63102111592715,1.1990408665951691e-16,5
llm_closed_loop,2,1.3282817122385981,6.628031457012184e-16,3
llm_closed_loop,2,5.673345157861524,8.326672684688674e-17,1
