seed,arm,proposal_index,proposal_id,operations,theta,architecture_hash,candidate_hash,valid,is_duplicate,outcome,train_mse,val_rmse,val_mae,prediction_mean,prediction_std,prediction_min,prediction_max,constant_output,circuit_depth,searched_body_depth,searched_body_gate_count,controlled_gate_count,quantum_parameter_count,parameter_count_in_causal_cone,fraction_in_causal_cone,best_so_far_val_rmse,api_latency_seconds,input_tokens,output_tokens
0,random,0,random:0:0,"[{""gate"": ""H"", ""wires"": [0], ""theta"": null}, {""gate"": ""CRY"", ""wires"": [2, 1], ""theta"": 2.3611222142048303}, {""gate"": ""CRY"", ""wires"": [0, 1], ""theta"": 1.3060941462121793}, {""gate"": ""CRZ"", ""wires"": [1, 0], ""theta"": 0.5801285210072987}, {""gate"": ""RZ"", ""wires"": [1], ""theta"": 2.5459467572149292}]","[2.361122214, 1.306094146, 0.580128521, 2.545946757]",eb425c31659e51a005650295c366c6c51e27e4dfe0db6d5a76a739dde4f0c4ea,4d8366fcfa790f950869f221d029a7f2bc33533e989570829b287da003b71728,True,False,evaluated,0.08727938506630671,0.28181192831723334,0.24245826347060712,0.48033739129490766,0.02785781676719379,0.3783925994384293,0.5079425140426637,False,5,4,5,3,4,3,0.75,0.28181192831723334,,,
0,random,1,random:0:1,"[{""gate"": ""CRX"", ""wires"": [2, 0], ""theta"": 0.6154595514589041}]",[0.615459551],e6366a810f89625c44b1aff40f21f2049f00263e7e10a7dde458ee69ca1c6271,24f4ba2ae0ae84a523cf60b6368b5b0aa5c0a014de1133c7b00ed582ae4c64a1,True,False,evaluated,0.025838306781524344,0.16905486301990255,0.14400098440284934,0.5543595770789952,0.39340756309238095,0.011151989240755222,0.9847394036698636,False,2,1,1,1,1,1,1.0,0.16905486301990255,,,
0,random,2,random:0:2,"[{""gate"": ""CRY"", ""wires"": [1, 2], ""theta"": -1.317725879963609}]",[-1.31772588],9242850370d23cbd88389b2b3c89825c9baa96e9681a705e6ade12cd29195675,f87f5a08768fd5c9ce76bf888322bd7393a545fdee0e2f5a35681d77f20d94f9,True,False,evaluated,0.03787432165664926,0.2004726995825111,0.1775339881471764,0.551181385520523,0.4328760097634128,5.956516536065326e-06,0.9999973099579895,False,2,1,1,1,1,0,0.0,0.16905486301990255,,,
0,random,3,random:0:3,"[{""gate"": ""CRZ"", ""wires"": [0, 1], ""theta"": -2.5757909317836236}, {""gate"": ""CRY"", ""wires"": [0, 2], ""theta"": -0.10351840902771929}, {""gate"": ""H"", ""wires"": [0], ""theta"": null}, {""gate"": ""CRX"", ""wires"": [2, 0], ""theta"": 0.2146524080488394}]","[-2.575790932, -0.103518409, 0.214652408]",1c21831c936d36e5b4e551daa8ec04c20ceb1eac549e537e884872d2b1fc8d04,99a2fa7235907ca73cca1bab3be1366e37203df020abea0a158c28f39abc6ce1,True,False,evaluated,0.0879847086264439,0.27954667089523655,0.2385076636756907,0.49492171216831776,0.007104049072111171,0.4682334192203182,0.503313460291472,False,5,4,4,3,3,3,1.0,0.16905486301990255,,,
0,llm_open_loop,0,llm_open_loop:0:0,"[{""gate"": ""H"", ""wires"": [1], ""theta"": null}, {""gate"": ""CRY"", ""wires"": [1, 0], ""theta"": 1.571}, {""gate"": ""RY"", ""wires"": [0], ""theta"": 0.785}, {""gate"": ""CRZ"", ""wires"": [2, 0], ""theta"": -1.047}, {""gate"": ""RZ"", ""wires"": [0], ""theta"": 0.314}]","[1.571, 0.785, -1.047, 0.314]",6ceed30fd9fd9e1668abc7a18fee3295d7cbc933283cffca6eb0a6317a2ae575,b5bac284335f66d9fb96951e74977bc9a5d36ec62b585b32737b89726fdbf827,True,False,evaluated,0.03600944677003232,0.18172721479285497,0.13077326036740544,0.5312389502673726,0.15350069366522803,0.2325656849577638,0.8418111469855678,False,6,5,5,2,4,4,1.0,0.18172721479285497,2.913105874788016,586,96
0,llm_open_loop,1,llm_open_loop:0:1,"[{""gate"": ""H"", ""wires"": [1], ""theta"": null}, {""gate"": ""CRY"", ""wires"": [1, 0], ""theta"": 1.571}, {""gate"": ""RY"", ""wires"": [0], ""theta"": 0.785}, {""gate"": ""CRZ"", ""wires"": [2, 0], ""theta"": -1.047}, {""gate"": ""RX"", ""wires"": [0], ""theta"": -0.524}]","[1.571, 0.785, -1.047, -0.524]",68e29b0bf1a6dc84f399dc278b5833814e76a8b814e8d34271f50ef5557f217e,9637c1cc7fa5d67837133573b6f5acbe43b7d8fcc7b1cfe655f690cb4239c231,True,False,evaluated,0.02387808584594019,0.14752738339767707,0.11020214431739997,0.5046659818353635,0.1894156832109121,0.19150006736958847,0.8434967136934558,False,6,5,5,2,4,4,1.0,0.14752738339767707,1.7348516671918333,586,96
0,llm_open_loop,2,llm_open_loop:0:2,"[{""gate"": ""H"", ""wires"": [1], ""theta"": null}, {""gate"": ""CRY"", ""wires"": [1, 0], ""theta"": 1.247}, {""gate"": ""RZ"", ""wires"": [2], ""theta"": -0.381}]","[1.247, -0.381]",8d801d6c34db96c075d47f36181e9f7ce9e0a9f3e97686050c160409a38668cd,7fca7f059bdb34029885cba7bc96355574559807bfa0ae2079a9dfeb0c549258,True,False,evaluated,0.021903206166751163,0.14230177423033788,0.12040335964412058,0.5030481050097039,0.3523170790454973,0.023473151285082983,0.9687895620405671,False,3,2,3,1,2,1,0.5,0.14230177423033788,1.9351695831865072,586,63
0,llm_open_loop,3,llm_open_loop:0:3,"[{""gate"": ""H"", ""wires"": [1], ""theta"": null}, {""gate"": ""CRY"", ""wires"": [1, 0], ""theta"": 1.571}, {""gate"": ""RY"", ""wires"": [0], ""theta"": 0.785}, {""gate"": ""CRZ"", ""wires"": [0, 2], ""theta"": -1.047}, {""gate"": ""RX"", ""wires"": [0], ""theta"": -0.524}]","[1.571, 0.785, -1.047, -0.524]",080e6db9f49c1af7e7e6dce41323801ff4528cb864d103e2a444f9f6d520ed75,fe0d02d014bf50969bcef4d21b7db22b53e85da605cf637b1bd622c0081ff769,True,False,evaluated,0.042403793077446655,0.19417773078156833,0.14798429511500769,0.5102051594382416,0.1309496613809457,0.27540887967006283,0.7757439864762941,False,6,5,5,2,4,4,1.0,0.14230177423033788,2.283427541144192,586,96
0,llm_closed_loop,0,llm_closed_loop:0:0,"[{""gate"": ""H"", ""wires"": [1], ""theta"": null}, {""gate"": ""CRY"", ""wires"": [1, 0], ""theta"": 1.571}, {""gate"": ""RY"", ""wires"": [0], ""theta"": 0.785}, {""gate"": ""CRZ"", ""wires"": [2, 0], ""theta"": -1.047}, {""gate"": ""RZ"", ""wires"": [0], ""theta"": 0.314}]","[1.571, 0.785, -1.047, 0.314]",6ceed30fd9fd9e1668abc7a18fee3295d7cbc933283cffca6eb0a6317a2ae575,b5bac284335f66d9fb96951e74977bc9a5d36ec62b585b32737b89726fdbf827,True,False,evaluated,0.03600944677003232,0.18172721479285497,0.13077326036740544,0.5312389502673726,0.15350069366522803,0.2325656849577638,0.8418111469855678,False,6,5,5,2,4,4,1.0,0.18172721479285497,1.281578291207552,592,96
0,llm_closed_loop,1,llm_closed_loop:0:1,"[{""gate"": ""H"", ""wires"": [1], ""theta"": null}, {""gate"": ""CRY"", ""wires"": [1, 0], ""theta"": 1.309}, {""gate"": ""RY"", ""wires"": [0], ""theta"": 0.628}, {""gate"": ""CRX"", ""wires"": [2, 0], ""theta"": -0.785}, {""gate"": ""RZ"", ""wires"": [0], ""theta"": -0.262}]","[1.309, 0.628, -0.785, -0.262]",aea63861353a473bb973ddcbc28d742fe8e8308ef48081945ce811cf21ef21af,56ec98d5c739b896ae8ae7c9820ab685b3f0cf9c343724e3df68b34266443fdb,True,False,evaluated,0.021532327106701433,0.14170985702760178,0.09756031247850139,0.5234460014952814,0.1831921924170827,0.2129874388597338,0.8289054311773767,False,6,5,5,2,4,4,1.0,0.14170985702760178,1.6657451665960252,1027,97
