task,n_qubits,arm,unique_evaluations,median_best_val,q25,q75
gauss_peak,6,evolutionary_structure,1,0.07459662733852308,0.07006075377996858,0.16627618431443467
gauss_peak,6,evolutionary_structure,2,0.07006075377996858,0.02235820732604936,0.11223953524081803
gauss_peak,6,evolutionary_structure,3,0.029719696070965983,0.02235820732604936,0.04247564849177711
gauss_peak,6,evolutionary_structure,4,0.028412065516113576,0.02235820732604936,0.04184707629066041
gauss_peak,6,evolutionary_structure,5,0.028412065516113576,0.02235820732604936,0.04184707629066041
gauss_peak,6,evolutionary_structure,6,0.028412065516113576,0.022043647184022425,0.04184707629066041
gauss_peak,6,evolutionary_structure,7,0.028409347026678286,0.022043647184022425,0.028412065516113576
gauss_peak,6,evolutionary_structure,8,0.023089951689595576,0.022043647184022425,0.028409347026678286
gauss_peak,6,evolutionary_structure,9,0.023089951689595576,0.022043647184022425,0.028409347026678286
gauss_peak,6,evolutionary_structure,10,0.022043647184022425,0.021760805404126678,0.028409347026678286
gauss_peak,6,evolutionary_structure,11,0.022043647184022425,0.021760805404126678,0.028409347026678286
gauss_peak,6,evolutionary_structure,12,0.021760805404126678,0.020585439445735185,0.022043647184022425
gauss_peak,6,evolutionary_structure,13,0.021760805404126678,0.020585439445735185,0.022043647184022425
gauss_peak,6,evolutionary_structure,14,0.020585439445735185,0.020556279633935155,0.022043647184022425
gauss_peak,6,evolutionary_structure,15,0.020585439445735185,0.020556279633935155,0.020663204821427743
gauss_peak,6,evolutionary_structure,16,0.020585439445735185,0.020556279633935155,0.020663204821427743
gauss_peak,6,random_structure,1,0.08200088580751062,0.06999117023943606,0.17352938111625926
gauss_peak,6,random_structure,2,0.049326794591747894,0.02373527742264574,0.0689394560574922
gauss_peak,6,random_structure,3,0.046059905057162426,0.02373527742264574,0.06508826779948244
gauss_peak,6,random_structure,4,0.0244205227326445,0.02373527742264574,0.046059905057162426
gauss_peak,6,random_structure,5,0.02373527742264574,0.02228926846673157,0.046059905057162426
gauss_peak,6,random_structure,6,0.02373527742264574,0.02228926846673157,0.046059905057162426
gauss_peak,6,random_structure,7,0.02373527742264574,0.02228926846673157,0.026610294198101164
gauss_peak,6,random_structure,8,0.021541996469787283,0.021499198882179705,0.02181033578450366
gauss_peak,6,random_structure,9,0.021541996469787283,0.021499198882179705,0.02181033578450366
gauss_peak,6,random_structure,10,0.0207863147988687,0.01952518515354031,0.021499198882179705
gauss_peak,6,random_structure,11,0.0207863147988687,0.01952518515354031,0.021499198882179705
gauss_peak,6,random_structure,12,0.0207863147988687,0.01952518515354031,0.021499198882179705
gauss_peak,6,random_structure,13,0.0207863147988687,0.01952518515354031,0.021499198882179705
gauss_peak,6,random_structure,14,0.0207863147988687,0.01952518515354031,0.021499198882179705
gauss_peak,6,random_structure,15,0.0207863147988687,0.01952518515354031,0.021499198882179705
gauss_peak,6,random_structure,16,0.0207863147988687,0.01952518515354031,0.021499198882179705
