task,n_qubits,arm,unique_evaluations,median_best_val,q25,q75
sin_freq,4,evolutionary_structure,1,0.2354268392286271,0.214945410812587,0.23996062307931468
sin_freq,4,evolutionary_structure,2,0.214945410812587,0.10919393681718896,0.23996062307931468
sin_freq,4,evolutionary_structure,3,0.12071558211938634,0.10919393681718896,0.19084694252854242
sin_freq,4,evolutionary_structure,4,0.12071558211938634,0.10424462531208407,0.16416389581120736
sin_freq,4,evolutionary_structure,5,0.12071558211938634,0.08627359330780884,0.16416389581120736
sin_freq,4,evolutionary_structure,6,0.12071558211938634,0.08627359330780884,0.16416389581120736
sin_freq,4,evolutionary_structure,7,0.12071558211938634,0.08627359330780884,0.16416389581120736
sin_freq,4,evolutionary_structure,8,0.1200435711724527,0.08627359330780884,0.16416389581120736
sin_freq,4,evolutionary_structure,9,0.08627359330780884,0.08248681836036477,0.1200435711724527
sin_freq,4,evolutionary_structure,10,0.08627359330780884,0.08248681836036477,0.1200435711724527
sin_freq,4,evolutionary_structure,11,0.08627359330780884,0.08248681836036477,0.1200435711724527
sin_freq,4,evolutionary_structure,12,0.08627359330780884,0.08248681836036477,0.1200435711724527
sin_freq,4,evolutionary_structure,13,0.08248681836036477,0.0807254524870761,0.08627359330780884
sin_freq,4,evolutionary_structure,14,0.0807254524870761,0.07900327087389855,0.08190855395293205
sin_freq,4,evolutionary_structure,15,0.0807254524870761,0.07900327087389855,0.08190855395293205
sin_freq,4,evolutionary_structure,16,0.0807254524870761,0.07900327087389855,0.08190855395293205
sin_freq,4,random_structure,1,0.28316513744857935,0.27465641602527774,0.30290961252554677
sin_freq,4,random_structure,2,0.19702107489011406,0.1580682499989814,0.2790658241370958
sin_freq,4,random_structure,3,0.19702107489011406,0.1580682499989814,0.23482157445791374
sin_freq,4,random_structure,4,0.19702107489011406,0.1580682499989814,0.23482157445791374
sin_freq,4,random_structure,5,0.19702107489011406,0.1580682499989814,0.23482157445791374
sin_freq,4,random_structure,6,0.1580682499989814,0.14785412261769001,0.19580287605039146
sin_freq,4,random_structure,7,0.1580682499989814,0.14785412261769001,0.19580287605039146
sin_freq,4,random_structure,8,0.1580682499989814,0.14785412261769001,0.19580287605039146
sin_freq,4,random_structure,9,0.1580682499989814,0.14785412261769001,0.19580287605039146
sin_freq,4,random_structure,10,0.14785412261769001,0.13907170023899806,0.1580682499989814
sin_freq,4,random_structure,11,0.13907170023899806,0.12311518649897778,0.14785412261769001
sin_freq,4,random_structure,12,0.12311518649897778,0.08560316625153161,0.13907170023899806
sin_freq,4,random_structure,13,0.12311518649897778,0.08560316625153161,0.13848248686624043
sin_freq,4,random_structure,14,0.12311518649897778,0.08560316625153161,0.13848248686624043
sin_freq,4,random_structure,15,0.08560316625153161,0.07965227225030608,0.12311518649897778
sin_freq,4,random_structure,16,0.08560316625153161,0.07965227225030608,0.12311518649897778
